"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.054459213E2,6.498385446E1,2.551574690E1,7.326456637E0,1.700000048E0,2.073000031E2,3.790092468E0,2.500000000E0
1.064461749E2,6.498384058E1,2.551572999E1,7.314605223E0,1.669999957E0,2.061000061E2,3.790092468E0,2.500000000E0
1.074450362E2,6.498382678E1,2.551571238E1,7.033161690E0,1.679999948E0,2.088000031E2,3.790092468E0,2.500000000E0
1.084453874E2,6.498381279E1,2.551569408E1,6.855111627E0,1.700000048E0,2.098999939E2,3.790092468E0,2.500000000E0
1.094459169E2,6.498379877E1,2.551567459E1,6.832457201E0,1.759999990E0,2.103000031E2,3.790092468E0,2.500000000E0
1.104449859E2,6.498378518E1,2.551565394E1,6.603382425E0,1.740000010E0,2.123999939E2,3.790092468E0,2.500000000E0
1.114457963E2,6.498377153E1,2.551563467E1,6.503396768E0,1.740000010E0,2.115000000E2,3.790092468E0,2.500000000E0
1.124452119E2,6.498375777E1,2.551561592E1,6.138030083E0,1.759999990E0,2.103999939E2,3.790092468E0,2.500000000E0
1.134452130E2,6.498374390E1,2.551559729E1,5.972553417E0,1.740000010E0,2.108999939E2,3.790092468E0,2.500000000E0
1.144450422E2,6.498372990E1,2.551557860E1,5.974923319E0,1.750000000E0,2.106999969E2,3.790092468E0,2.500000000E0
1.154456870E2,6.498371616E1,2.551555947E1,5.929502991E0,1.730000019E0,2.118000031E2,3.790092468E0,2.500000000E0
1.164449359E2,6.498370253E1,2.551553961E1,5.999012060E0,1.740000010E0,2.118000031E2,3.790092468E0,2.500000000E0
1.174458598E2,6.498368748E1,2.551552242E1,6.069801207E0,1.759999990E0,2.091000061E2,3.790092468E0,2.500000000E0
1.184452860E2,6.498367297E1,2.551550439E1,5.955715474E0,1.769999981E0,2.093000031E2,3.790092468E0,2.500000000E0
1.194452701E2,6.498365849E1,2.551548793E1,5.877457199E0,1.759999990E0,2.085000000E2,3.790092468E0,2.500000000E0
1.204454384E2,6.498364447E1,2.551547003E1,5.800359206E0,1.740000010E0,2.086999969E2,3.790092468E0,2.500000000E0
1.214458554E2,6.498363027E1,2.551545294E1,5.752679886E0,1.740000010E0,2.080000000E2,3.790092468E0,2.500000000E0
1.224449901E2,6.498361602E1,2.551543664E1,5.785383718E0,1.720000029E0,2.066000061E2,3.790092468E0,2.500000000E0
1.234452682E2,6.498360215E1,2.551542007E1,6.050204634E0,1.710000038E0,2.068000031E2,3.790092468E0,2.500000000E0
1.244455963E2,6.498358868E1,2.551540215E1,6.271263891E0,1.720000029E0,2.095000000E2,3.790092468E0,2.500000000E0
1.254454515E2,6.498357510E1,2.551538479E1,6.313673070E0,1.710000038E0,2.091999969E2,3.790092468E0,2.500000000E0
1.264455953E2,6.498356163E1,2.551536574E1,6.201358452E0,1.730000019E0,2.101999969E2,3.790092468E0,2.500000000E0
1.274454439E2,6.498354744E1,2.551534834E1,6.240471175E0,1.759999990E0,2.091999969E2,3.790092468E0,2.500000000E0
1.284458899E2,6.498353366E1,2.551533077E1,6.313519846E0,1.740000010E0,2.096999969E2,3.790092468E0,2.500000000E0
1.294453156E2,6.498351926E1,2.551531429E1,6.535493583E0,1.740000010E0,2.058999939E2,3.790092468E0,2.500000000E0
1.304459216E2,6.498350443E1,2.551529915E1,6.651143505E0,1.730000019E0,2.046000061E2,3.790092468E0,2.500000000E0
1.314453809E2,6.498349072E1,2.551528050E1,6.614451172E0,1.690000057E0,2.091000061E2,3.790092468E0,2.500000000E0
1.324457092E2,6.498347663E1,2.551526079E1,6.802856284E0,1.730000019E0,2.098000031E2,3.790092468E0,2.500000000E0
1.334457610E2,6.498346262E1,2.551523965E1,6.959340271E0,1.769999981E0,2.123999939E2,3.790092468E0,2.500000000E0
1.344451459E2,6.498344928E1,2.551521634E1,6.940104947E0,1.779999971E0,2.153000031E2,3.790092468E0,2.500000000E0
1.354450180E2,6.498343565E1,2.551519542E1,7.195649315E0,1.730000019E0,2.133999939E2,3.790092468E0,2.500000000E0
1.364456973E2,6.498342169E1,2.551517644E1,7.564352303E0,1.730000019E0,2.123000031E2,3.790092468E0,2.500000000E0
1.374458618E2,6.498340740E1,2.551515949E1,7.725779330E0,1.759999990E0,2.106999969E2,3.790092468E0,2.500000000E0
1.384454417E2,6.498339279E1,2.551514220E1,8.041991262E0,1.779999971E0,2.081999969E2,3.790092468E0,2.500000000E0
1.394453992E2,6.498337873E1,2.551512415E1,7.917163763E0,1.779999971E0,2.121000061E2,3.790092468E0,2.500000000E0
1.404457806E2,6.498336483E1,2.551510381E1,8.062783490E0,1.750000000E0,2.138000031E2,3.790092468E0,2.500000000E0
1.414450121E2,6.498335144E1,2.551508462E1,7.981291720E0,1.740000010E0,2.128000031E2,3.790092468E0,2.500000000E0
1.424453429E2,6.498333765E1,2.551506509E1,8.144794743E0,1.750000000E0,2.113000031E2,3.790092468E0,2.500000000E0
1.434454442E2,6.498332443E1,2.551504483E1,8.206674854E0,1.730000019E0,2.138999939E2,3.790092468E0,2.500000000E0
1.444456170E2,6.498331012E1,2.551502558E1,8.260192009E0,1.720000029E0,2.141000061E2,3.790092468E0,2.500000000E0
1.454449262E2,6.498329521E1,2.551500740E1,8.477343724E0,1.759999990E0,2.098999939E2,3.790092468E0,2.500000000E0
1.464453170E2,6.498327987E1,2.551498979E1,8.860754733E0,1.789999962E0,2.098999939E2,3.790092468E0,2.500000000E0
1.474454419E2,6.498326388E1,2.551496889E1,9.132898485E0,1.740000010E0,2.086999969E2,3.790092468E0,2.500000000E0
1.484451446E2,6.498324881E1,2.551495185E1,9.158338477E0,1.799999952E0,2.086999969E2,3.790092468E0,2.500000000E0
1.494452831E2,6.498323333E1,2.551493627E1,9.271058173E0,1.789999962E0,2.101999969E2,3.790092468E0,2.500000000E0
1.504456347E2,6.498321824E1,2.551491653E1,9.403004850E0,1.759999990E0,2.131999969E2,3.790092468E0,2.500000000E0
1.514458944E2,6.498320295E1,2.551489471E1,9.520730424E0,1.789999962E0,2.118999939E2,3.790092468E0,2.500000000E0
1.524453018E2,6.498318577E1,2.551488041E1,9.493555805E0,1.799999952E0,2.030000000E2,3.790092468E0,2.500000000E0
1.534456157E2,6.498316897E1,2.551486022E1,9.717603014E0,1.799999952E0,2.081999969E2,3.790092468E0,2.500000000E0
1.544452690E2,6.498315414E1,2.551483880E1,9.625184918E0,1.769999981E0,2.096000061E2,3.790092468E0,2.500000000E0
1.554452528E2,6.498314023E1,2.551481682E1,9.750174972E0,1.710000038E0,2.093999939E2,3.790092468E0,2.500000000E0
1.564457616E2,6.498312562E1,2.551479629E1,9.759075321E0,1.789999962E0,2.076999969E2,3.790092468E0,2.500000000E0
1.574451587E2,6.498311225E1,2.551477923E1,9.785859660E0,1.730000019E0,2.071999969E2,3.790092468E0,2.500000000E0
1.584456292E2,6.498309833E1,2.551476095E1,1.010976279E1,1.779999971E0,2.101000061E2,3.790092468E0,2.500000000E0
1.594458054E2,6.498308489E1,2.551474158E1,1.046131544E1,1.730000019E0,2.125000000E2,3.790092468E0,2.500000000E0
1.604451669E2,6.498307506E1,2.551472334E1,9.757512378E0,1.730000019E0,2.148999939E2,3.790092468E0,2.500000000E0
1.614454422E2,6.498306550E1,2.551470712E1,8.763487134E0,1.769999981E0,2.148999939E2,3.790092468E0,2.500000000E0
1.624458801E2,6.498305644E1,2.551467982E1,9.035271914E0,1.750000000E0,2.283999939E2,3.790092468E0,2.500000000E0
1.634452646E2,6.498304781E1,2.551464837E1,9.318288106E0,1.779999971E0,2.346999969E2,3.790092468E0,2.500000000E0
1.644453070E2,6.498303932E1,2.551461818E1,9.472764222E0,1.690000057E0,2.401999969E2,3.790092468E0,2.500000000E0
1.654454256E2,6.498303316E1,2.551458417E1,1.007334895E1,1.690000057E0,2.498000031E2,3.790092468E0,2.500000000E0
1.664458224E2,6.498303126E1,2.551454548E1,1.079887718E1,1.769999981E0,2.662000122E2,3.790092468E0,2.500000000E0
1.674456153E2,6.498302907E1,2.551450628E1,1.131468842E1,1.820000052E0,2.686000061E2,3.790092468E0,2.500000000E0
1.684451637E2,6.498302851E1,2.551446316E1,1.147997678E1,1.940000057E0,2.671000061E2,3.790092468E0,2.500000000E0
1.694454444E2,6.498302708E1,2.551441940E1,1.210315016E1,1.929999948E0,2.688999939E2,3.790092468E0,2.500000000E0
1.704458300E2,6.498302639E1,2.551437637E1,1.240057950E1,1.899999976E0,2.677000122E2,3.790092468E0,2.500000000E0
1.714450125E2,6.498302549E1,2.551433270E1,1.268336029E1,1.909999967E0,2.667000122E2,3.790092468E0,2.500000000E0
1.724456442E2,6.498302398E1,2.551429047E1,1.297248799E1,1.940000057E0,2.640000000E2,3.790092468E0,2.500000000E0
1.734458629E2,6.498302388E1,2.551424861E1,1.313704418E1,1.950000048E0,2.671000061E2,3.790092468E0,2.500000000E0
1.744454393E2,6.498302393E1,2.551420675E1,1.318453508E1,1.919999957E0,2.670000000E2,3.790092468E0,2.500000000E0
1.754457934E2,6.498302291E1,2.551416495E1,1.321182235E1,1.909999967E0,2.658999939E2,3.790092468E0,2.500000000E0
1.764456097E2,6.498302130E1,2.551412041E1,1.364371149E1,1.970000029E0,2.641000061E2,3.790092468E0,2.500000000E0
1.774449903E2,6.498301918E1,2.551407971E1,1.352158354E1,1.940000057E0,2.626000061E2,3.790092468E0,2.500000000E0
1.784452096E2,6.498301746E1,2.551403679E1,1.345542549E1,2.000000000E0,2.641000061E2,3.790092468E0,2.500000000E0
